date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:17	4428/4428	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22114c-5a4578c2deec8%22	https://app-sorteos.com/font/asicons-v1.0/fonts/asicons.eot?814y8i	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/font/asicons-v1.0/fonts/asicons2400.eot	(from https://app-sorteos.com/font/asicons-v1.0/style.css?1588070804)
21:07:18	4340/4340	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2210f4-5a4578c2deec8%22	https://app-sorteos.com/font/asicons-v1.0/fonts/asicons.woff?814y8i	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/font/asicons-v1.0/fonts/asicons2400.woff	(from https://app-sorteos.com/font/asicons-v1.0/style.css?1588070804)
21:07:18	10348/10348	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22286c-5a4578c2deec8%22	https://app-sorteos.com/font/asicons-v1.0/fonts/asicons.svg?814y8i	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/font/asicons-v1.0/fonts/asicons2400.svg	(from https://app-sorteos.com/font/asicons-v1.0/style.css?1588070804)
21:07:19	700/700	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jun%202020%2014:07:17%20GMT	https://app-sorteos.com/en/blog/filters-instagram-comments-giveaway	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/en/blog/filters-instagram-comments-giveaway	(from https://app-sorteos.com/en/faqs)
21:07:19	731/731	---MC-	200	added ('OK')	text/javascript	date:Tue,%2009%20Jun%202020%2014:07:18%20GMT	https://www.google.com/recaptcha/api.js?onload=onloadCallback	C:/My%20Web%20Sites/WebGratis/www.google.com/recaptcha/apida10.js	(from https://app-sorteos.com/en/support)
21:07:22	29957/29957	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202020%2014:07:19%20GMT	https://app-sorteos.com/en/blog/instagram-multi-accounts-giveaways	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/en/blog/instagram-multi-accounts-giveaways.html	(from https://app-sorteos.com/en/apps/instagram-comment-picker)
21:07:22	31278/31278	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202020%2014:07:18%20GMT	https://app-sorteos.com/en/apps/twitter-giveaway	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/en/apps/twitter-giveaway.html	(from https://app-sorteos.com/en/apps)
21:07:22	95953/95953	---MCZ	200	added ('OK')	text/javascript	etag:W/%22176d1-fFeuVWzxvHRZXileRyKjTZRG1rs%22	https://platform-api.sharethis.com/js/sharethis.js	C:/My%20Web%20Sites/WebGratis/platform-api.sharethis.com/js/sharethis.js	(from https://app-sorteos.com/en/apps/instagram-comment-picker)
21:07:23	637/637	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2009%20Jun%202020%2014:07:21%20GMT	https://app-sorteos.com/en/apps/instagram-giveaway	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/en/apps/instagram-giveaway	(from https://app-sorteos.com/en/apps/instagram-comment-picker)
21:07:24	35200/35200	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202020%2014:07:22%20GMT	https://app-sorteos.com/en/fb-app	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/en/fb-app.html	(from https://app-sorteos.com/en/apps/facebook-comment-picker)
21:07:25	16997/16997	---M--	200	added ('OK')	image/png	etag:%224265-5a4578c2deec8%22	https://app-sorteos.com/img/apps/en_wheel-spin.png	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/img/apps/en_wheel-spin.png	(from https://app-sorteos.com/en/apps/wheel-decide)
21:07:26	107961/107961	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd491b-1a5b9%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/latest/TweenMax.min.js	C:/My%20Web%20Sites/WebGratis/cdnjs.cloudflare.com/ajax/libs/gsap/latest/TweenMax.min.js	(from https://app-sorteos.com/en/apps/wheel-decide)
21:07:26	23283/23283	---M-Z	200	added ('OK')	application/javascript	etag:%225af3-595babda5f5bf-gzip%22	https://app-sorteos.com/js/vendor/winwheel.min.js	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/js/vendor/winwheel.min.js	(from https://app-sorteos.com/en/apps/wheel-decide)
21:07:26	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2009%20Jun%202020%2014:07:25%20GMT	https://app-sorteos.com/en/checkout	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/en/checkout	(from https://app-sorteos.com/en/checkout?preference=)
21:07:27	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2009%20Jun%202020%2014:07:25%20GMT	https://app-sorteos.com/en/twitter/login	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/en/twitter/login	(from https://app-sorteos.com/en/apps/twitter-giveaway)
21:07:28	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22889764b486f15abc60285591e6649976%22	https://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/WebGratis/connect.facebook.net/en_US/sdk.js	(from https://app-sorteos.com/en/fb-app)
21:07:28	637/637	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2009%20Jun%202020%2014:07:26%20GMT	https://app-sorteos.com/en/apps/instagram-giveaway	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/en/apps/instagram-giveaway.html	(from https://app-sorteos.com/en/apps/instagram-comment-picker)
21:07:29	637/637	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2009%20Jun%202020%2014:07:27%20GMT	https://app-sorteos.com/en/apps/instagram-giveaway	C:/My%20Web%20Sites/WebGratis/app-sorteos.com/en/apps/instagram-giveaway.html	(from https://app-sorteos.com/en/apps/instagram-comment-picker)
